Product_Category4_id,Category1,CATEGORY1,Category2,CategorY3,Category4,CAtegory3,Category3,CaTegory1,CategOry2,CATEgory3,category3
15186,,,,,,,1,,,,
15192,,,,,,,1,,,,
15258,,,,,,,1,,,,
15267,,,,,,,1,,,,
15288,,,,,,,1,,,,
15321,,,,,,,1,,,,
15351,,,,,,,1,,,,
15354,,,,,,,,,,,1
15378,,,,,,,1,,,,
15381,,,,,,,1,,,,
15384,,,,,,,1,,,,
15423,,,,,,,1,,,,
15435,,,,,,,1,,,,
15438,,,,,,,1,,,,
15441,,,,,,,1,,,,
15468,,,,,,,1,,,,
15492,,,,,,,1,,,,
15501,,,,,,,1,,,,
15654,,,,,,,1,,,,
15726,,,,,,,1,,,,
15732,,,,,,,1,,,,
15738,,,,,,,1,,,,
15750,,,,,,,1,,,,
15759,,,,,,,1,,,,
15813,,,,,,,1,,,,
15816,,,,,,1,,,,,
15846,,,,,,,1,,,,
15864,,,,,,,1,,,,
15885,,,,,,,1,,,,
15891,,,,,,,1,,,,
15897,,,,,,,1,,,,
15906,,,,,,,1,,,,
15924,,,,,,,1,,,,
15936,,,,,,,1,,,,
15963,,,,,,,1,,,,
15966,,,,1,,,,,,,
16098,,,,,,,1,,,,
18168,,,,,,,1,,,,
18171,,,,,,,1,,,,
21273,,1,,,,,,,,,
21282,,,,,,,,1,,,
21285,1,,,,,,,,,,
21294,,1,,,,,,,,,
21300,,1,,,,,,,,,
21315,1,,,,,,,,,,
23826,,1,,,,,,,,,
23829,1,,,,,,,,,,
23832,,1,,,,,,,,,
23835,,1,,,,,,,,,
24123,,,,,,,,1,,,
24462,,1,,,,,,,,,
24723,,1,,,,,,,,,
24768,1,,,,,,,,,,
24891,,1,,,,,,,,,
24894,1,,,,,,,,,,
24903,,1,,,,,,,,,
24915,,,,,,,,1,,,
24918,,1,,,,,,,,,
24939,1,,,,,,,,,,
24945,,,,,,,,1,,,
24963,,1,,,,,,,,,
24972,,1,,,,,,,,,
24975,,1,,,,,,,,,
24978,,1,,,,,,,,,
24984,,1,,,,,,,,,
25029,,1,,,,,,,,,
25032,,1,,,,,,,,,
27183,,,,,,,,,1,,
27483,,,1,,,,,,,,
27603,,,1,,,,,,,,
